placename,stateabbr,risk_score_error
Abilene,TX,0.5386512492298307
Akron,OH,0.7424497832772082
Alameda,CA,1.1989916001452785
Albany,GA,0.9472816828459522
Albany,NY,1.1172698471759692
Albuquerque,NM,0.9049926090563396
Alexandria,VA,1.236698061484929
Alhambra,CA,1.211854578974949
Allen,TX,2.3106433912762143
Allentown,PA,1.0794588249924584
Amarillo,TX,1.1537995315808107
Anaheim,CA,1.1556923905483965
Anchorage,AK,0.836160149762102
Ann Arbor,MI,0.993777514866052
Antioch,CA,1.877929477490594
Apple Valley,CA,1.5305056725271151
Appleton,WI,1.049973760437317
Arlington Heights,IL,1.3080788262910537
Arlington,TX,0.7882917623645568
Arvada,CO,0.8981976746981369
Asheville,NC,0.5643514191785036
Athens,GA,0.9450153426219259
Atlanta,GA,0.9050609295252221
Auburn,WA,1.1780414272514284
Augusta,GA,0.6762577983008172
Aurora,CO,1.4678626798375065
Aurora,IL,1.09228878262694
Austin,TX,1.2826193876123146
Avondale,AZ,1.1558796755246885
Bakersfield,CA,1.6927467275419532
Baldwin Park,CA,2.1454835511551065
Baltimore,MD,1.0436767931679187
Baton Rouge,LA,1.1471395938180489
Baytown,TX,1.3763915932056112
Beaumont,TX,0.7560587760436178
Beaverton,OR,1.8071850705133325
Bellevue,WA,1.164345886964312
Bellflower,CA,2.1122087212492673
Bellingham,WA,1.1528644477098258
Bend,OR,1.6738473765255273
Berkeley,CA,2.23498993340392
Bethlehem,PA,1.0246244727135119
Billings,MT,1.5110631076687489
Birmingham,AL,1.2834694187572664
Bloomington,IL,0.7073814083979736
Bloomington,IN,1.5099802008768108
Bloomington,MN,0.8306393155787601
Boca Raton,FL,0.6884988934307641
Boise City,ID,1.9315401637315066
Bolingbrook,IL,0.5714919890898768
Boston,MA,0.8776191891206928
Boulder,CO,1.099891084527483
Boynton Beach,FL,2.024793178603422
Bridgeport,CT,2.0056227722567304
Brockton,MA,0.6352105232624247
Broken Arrow,OK,1.2014106654355738
Brooklyn Park,MN,1.6078391683610316
Brownsville,TX,1.2376424880934118
Bryan,TX,1.630582029032188
Buena Park,CA,1.7915720200499254
Buffalo,NY,1.0737400301214948
Burbank,CA,1.4321027289617239
Burlington,VT,1.3450743073225184
Cambridge,MA,1.1265844819591253
Camden,NJ,1.1097112458106146
Canton,OH,1.5069689854161692
Cape Coral,FL,1.8169971905430011
Carlsbad,CA,1.0636437135696157
Carmel,IN,1.0304195280019917
Carrollton,TX,1.9561442694863898
Carson,CA,1.6703339968670254
Cary,NC,1.0197691059962068
