disease,placename,median,low,hi,pct_25,pct_75,sd
Male Over 65,Surprise,0.14367011172285005,0.04704301075268817,0.89198606271777,0.09021977971462194,0.48558804607554756,0.3032811205126711
Female Over 65,Surprise,0.1514233870967742,0.06676984302454124,0.8374114616870573,0.1114681603773585,0.5240247013439522,0.2833525642703902
BP Medication,Champaign,0.6955,0.147,0.79,0.523,0.72775,0.21507195858228717
Male Over 65,Roseville,0.11739915713425647,0.06746463547334058,0.8806532663316583,0.08876404494382023,0.1673615247170935,0.19744691831879888
Male Over 65,Deerfield Beach,0.1342725704427832,0.07266282676118742,0.8425686172967375,0.09105960264900662,0.31617161716171616,0.19695071836422112
Female Over 65,Menifee,0.11123897199846566,0.06185897435897436,0.6966292134831461,0.09127977408688263,0.18358131727741756,0.19691520220820202
Female Over 65,Roseville,0.15775558166862513,0.06311822892133773,0.9143715573360041,0.13096862210095497,0.20867469879518072,0.1953464826835914
Male Over 65,Menifee,0.08451005562687205,0.052035398230088493,0.691747572815534,0.07420555133777729,0.15382105138246113,0.19170799815565218
Female Over 65,Mesa,0.1290991483160145,0,0.8876933422999328,0.0911491566937879,0.24187620521381872,0.18636272016595065
Female Over 65,Deerfield Beach,0.1688125894134478,0.10785953177257525,0.7956748695003728,0.14569058781103497,0.28888888888888886,0.18427836021730298
BP Medication,Provo,0.577,0.149,0.759,0.4265,0.64125,0.18214231818573645
Male Over 65,Mesa,0.11775901966299318,0,0.9201773835920177,0.07506611440293334,0.20836765915087288,0.1820213872921715
Female Over 65,Boynton Beach,0.21967536551758668,0.09910802775024777,0.7026800670016751,0.15381805401040471,0.4053130923644226,0.18157578018985052
Male Over 65,Boca Raton,0.23633305298570226,0,0.6511627906976745,0.18124358492357845,0.3960861210403497,0.17707276427219884
Male Over 65,Indio,0.1480305203010155,0.04180602006688963,0.6588345864661654,0.0924108806556935,0.25976395780475925,0.1750356481613701
BP Medication,Gainesville,0.654,0.145,0.905,0.509,0.74,0.17375458167960536
Male Over 65,Peoria,0.12768896783106373,0.04032258064516129,0.784325637910085,0.08811949165819327,0.1664694350595568,0.17261979029487431
Female Over 65,Peoria,0.1393716577540107,0.03503184713375796,0.7810126582278482,0.09791360872300273,0.23851398004648983,0.1721242829419581
Male Over 65,Boynton Beach,0.1866010875932331,0.07904861839804127,0.6908850726552179,0.10636034614166623,0.3097345132743363,0.17109671111510547
Female Over 65,Boca Raton,0.24416042309387395,0,0.685370741482966,0.2191295265918104,0.36372964195443974,0.16952225063315363
Female Over 65,Pembroke Pines,0.14159046827376004,0.07165881477808084,0.737600291757841,0.11726954492415402,0.18577777777777776,0.1668155442424123
BP Medication,College Station,0.5734999999999999,0.159,0.7659999999999999,0.47674999999999995,0.64,0.16557435717412036
BP Medication,Lynchburg,0.7709999999999999,0.21,0.831,0.746,0.781,0.16337978215303833
Male Over 65,Chandler,0.07725093233883858,0.04080118694362018,0.9079956188389924,0.06445654048763677,0.10987473426681393,0.1609851255386587
BP Medication,Ann Arbor,0.7120000000000001,0.17300000000000001,0.818,0.652,0.746,0.16082472696395383
Female Over 65,Santa Fe,0.27664693170904314,0.04831358249772106,0.7446808510638298,0.18150125372669818,0.34462922843832744,0.15567343232936623
Female Over 65,Chandler,0.10028836911246396,0.049592391304347824,0.8718473074301295,0.08394768426823668,0.11634583371877052,0.15441709777905854
Male Over 65,Pembroke Pines,0.1178171304662089,0.03840084166228301,0.6653620352250489,0.09702575262966993,0.15239786856127888,0.1525201078975648
Female Over 65,Indio,0.16373512559716946,0.06500397983550013,0.5953947368421053,0.10306754222834326,0.3237531914893617,0.15088547465979096
Male Over 65,Pompano Beach,0.15384615384615385,0.030605871330418487,0.5698447893569845,0.10332271279016841,0.299390774586597,0.1504535651872638
BP Medication,Fayetteville,0.727,0.184,0.927,0.6809999999999999,0.768,0.1497723561070138
Male Over 65,Santa Rosa,0.1274321462449721,0.03388998035363458,0.7393939393939394,0.06554823994577076,0.16549337877021494,0.148155192837038
Male Over 65,Santa Fe,0.21625164597441685,0.06592146746918888,0.5514018691588785,0.1502576615025562,0.3305473268444068,0.14597555974314813
Male Over 65,Henderson,0.14958302836737863,0.04870530209617756,0.8304033092037229,0.10892562799830778,0.19171413902655046,0.14502014754089265
Female Over 65,Santa Rosa,0.14392357437579348,0.07015399657785383,0.7173652694610778,0.11784442864295328,0.25126883257611365,0.1434807387422159
Female Over 65,Pompano Beach,0.19725,0.055931161647203444,0.5473098330241187,0.13245033112582782,0.3105196451204056,0.14232679203451035
Female Over 65,Henderson,0.1651432115146096,0.05581230003554923,0.8660194174757282,0.13067624148540802,0.2016953604091505,0.1422431586692767
BP Medication,Tallahassee,0.667,0.16,0.7859999999999999,0.597,0.7190000000000001,0.14197038502999107
BP Medication,Madison,0.71,0.184,0.87,0.632,0.738,0.14106315927217195
Male Over 65,Sunrise,0.10656929295812467,0.04623921085080148,0.5367940673131774,0.09111105880680208,0.15789163367404796,0.14082928384361768
Female Over 65,Sunrise,0.1479424145026157,0.07881462799495587,0.5444711538461539,0.10831412950896296,0.24366546285023266,0.13854788684000535
BP Medication,Muncie,0.7615,0.23600000000000002,0.885,0.72125,0.78875,0.1384738176999746
BP Medication,Athens,0.7315,0.24,0.794,0.62175,0.75675,0.13770726906747877
BP Medication,Waco,0.727,0.196,0.87,0.6920000000000001,0.754,0.1346880803619854
BP Medication,Berkeley,0.679,0.17600000000000002,0.758,0.662,0.73,0.1345818439733708
Male Over 65,Scottsdale,0.20571633825944172,0.05832147937411095,0.6912408759124088,0.1433359994479807,0.2899777326738527,0.13364171932178098
