stateabbr,risk_score_error
AK,0.836160149762102
AL,1.1383413035391565
AR,1.2625564105158522
AZ,1.2597974756010704
CA,1.5013659429790738
CO,1.4904931104637988
CT,1.0275022271378038
DC,1.2001150741651507
DE,0.9755658383117249
FL,1.4981610238688603
GA,1.0866574048384445
HI,1.7569868393442793
IA,1.4206979908382968
ID,1.9242949900480861
IL,1.0533171048507308
IN,1.0084597369333423
KS,1.2652211598611967
KY,1.2039966960953439
LA,1.0814339787890528
MA,0.979146074383014
MD,1.0436767931679187
ME,0.808752891560696
MI,1.2551198536433772
MN,1.4177075460215502
MO,1.138713003015951
MS,0.8570375352771876
MT,1.7000180178220818
NC,1.1590441135946068
ND,1.1255753170885368
NE,1.0245191424205695
NH,1.4061125186996475
NJ,0.9046776969529295
NM,0.8572666837286917
NV,1.1792003223266057
NY,1.323485758315481
OH,0.9666987462414427
OK,1.0836294871971592
OR,1.3586495990638834
PA,0.9786011126677011
RI,0.9878673400460104
SC,1.2347865871159904
SD,1.4126548025285601
TN,1.0604924455512694
TX,1.1556783729669247
UT,1.4373346083506542
VA,1.1248505713355461
VT,1.3450743073225184
WA,1.474876378750937
WI,1.0869811257052995
WV,1.5758019646911714
WY,1.4621589815097422
