fips_place_tract,geoid,placename,stateabbr,risk_score_both_pc,risk_score_both_pc_residual
0107000-01073000100,01073000100,Birmingham,AL,43.61465799098408,1.939565255073994
0107000-01073000300,01073000300,Birmingham,AL,44.251881922425014,0.060508635226149465
0107000-01073000400,01073000400,Birmingham,AL,42.76525647210772,-5.804627634948638
0107000-01073000500,01073000500,Birmingham,AL,50.338413309651585,1.569888290602961
0107000-01073000700,01073000700,Birmingham,AL,53.04345737024774,3.8839839593051835
0107000-01073000800,01073000800,Birmingham,AL,56.61020434416718,6.590214189064973
0107000-01073001100,01073001100,Birmingham,AL,46.234544518106965,-3.0079203539507944
0107000-01073001200,01073001200,Birmingham,AL,49.30806784323303,0.9309009718690575
0107000-01073001400,01073001400,Birmingham,AL,49.76070341653812,1.0900657655529642
0107000-01073001500,01073001500,Birmingham,AL,48.71066624617949,0.3989876057053934
0107000-01073001600,01073001600,Birmingham,AL,53.180678837660814,1.7445858264987564
0107000-01073001902,01073001902,Birmingham,AL,46.07523664593442,0.5895792272563156
0107000-01073002000,01073002000,Birmingham,AL,47.346234258870105,2.9402776061066405
0107000-01073002100,01073002100,Birmingham,AL,44.01265142493256,-4.048511368861547
0107000-01073002200,01073002200,Birmingham,AL,43.8823931279388,-1.302125696425378
0107000-01073002303,01073002303,Birmingham,AL,45.00154152604585,-1.8609379155708865
0107000-01073002305,01073002305,Birmingham,AL,30.084148266642725,-0.26168909383971695
0107000-01073002306,01073002306,Birmingham,AL,36.20245371840758,1.5289937248603493
0107000-01073002400,01073002400,Birmingham,AL,41.097704723326565,1.0308564065666914
0107000-01073002700,01073002700,Birmingham,AL,40.12209951386519,-4.91728597284942
0107000-01073002900,01073002900,Birmingham,AL,52.120823137312975,0.30926201444314927
0107000-01073003001,01073003001,Birmingham,AL,37.5095956983143,-8.806026509600947
0107000-01073003002,01073003002,Birmingham,AL,55.061831110009265,2.6658600784937363
0107000-01073003100,01073003100,Birmingham,AL,46.28687323615214,1.0461155515851104
0107000-01073003200,01073003200,Birmingham,AL,53.73650766027792,4.384347814817673
