risk_score,COVID_DEATH_RATE,MODIFIED_ZCTA,NEIGHBORHOOD_NAME
50.79217388454341,716.97,11239,East New York
50.79217388454341,612.24,11239,Canarsie - Flatlands
46.0571831805518,490.03,11224,Brighton Beach/Coney Island/Seagate
46.0571831805518,420.34,11224,Coney Island - Sheepshead Bay
42.308254810070075,141.38,11697,Breezy Point
42.308254810070075,56.55,11697,Rockaway
42.17337600834324,148.44,11360,Bayside (North)
42.17337600834324,84.82,11360,Flushing - Clearview
40.992594530947954,222.89,11414,Hamilton Beach/Howard Beach/Lindenwood
40.992594530947954,180.43,11414,Southwest Queens
40.87703486675993,382.2,11235,Brighton Beach/Manhattan Beach/Sheepshead Bay
40.87703486675993,323.11,11235,Coney Island - Sheepshead Bay
38.8462158341981,314.78,10037,Central Harlem (North)/East Harlem
38.8462158341981,305.09,10037,Central Harlem - Morningside Height
38.62099881579359,265.16,11357,Whitestone
38.62099881579359,190.12,11357,Flushing - Clearview
38.529708308389345,414.17,10471,Fieldston/North Riverdale/Riverdale
38.529708308389345,310.63,10471,Kingsbridge - Riverdale
38.35142168000961,209.76,10002,Chinatown/Lower East Side
38.35142168000961,182.4,10002,Union Square - Lower East Side
38.32884258071637,239.09,11411,Cambria Heights
38.32884258071637,170.78,11411,Southeast Queens
38.315043295673675,542.16,11354,Flushing/Murray Hill
38.315043295673675,435.89,11354,Flushing - Clearview
38.04426333719996,296.52,11212,Ocean Hill-Brownsville
38.04426333719996,263.85,11212,Bedford Stuyvesant - Crown Heights
37.57158003994428,516.02,10469,Allerton/Baychester/Pelham Gardens/Williamsbridge
37.57158003994428,429.32,10469,Northeast Bronx
37.50251831279701,154.6,10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood
37.50251831279701,134.11,10306,South Beach - Tottenville
37.48801259573425,367.83,11004,Bellerose/Douglaston-Little Neck
37.48801259573425,287.87,11004,Southeast Queens
37.46070996829756,320.63,10451,Concourse/Melrose
37.46070996829756,305.96,10451,High Bridge - Morrisania
37.39711818480437,304.4,10463,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil
37.39711818480437,249.69,10463,Kingsbridge - Riverdale
36.90969834348055,580.61,11691,Edgemere/Far Rockaway
36.90969834348055,443.18,11691,Rockaway
36.83114663319284,294.66,11434,Airport/South Jamaica/Springfield Gardens/St. Albans
36.83114663319284,213.22,11434,Jamaica
36.733003069754595,182.55,11229,Gerritsen Beach/Homecrest/Sheepshead Bay
36.733003069754595,150.75,11229,Coney Island - Sheepshead Bay
36.64578580459764,69.84,11363,Douglaston-Little Neck
36.64578580459764,41.91,11363,Bayside - Little Neck
36.46645141983528,212.46,11355,Flushing/Murray Hill/Queensboro Hill
36.46645141983528,171.22,11355,Flushing - Clearview
36.426893497933506,400.85,10035,East Harlem
36.426893497933506,299.19,10035,East Harlem
36.38673297448392,237.83,11374,Rego Park
36.38673297448392,190.26,11374,Ridgewood - Forest Hills
36.15370939903998,239.72,10466,Edenwald/Wakefield
36.15370939903998,209.24,10466,Northeast Bronx
36.10996046200563,94.48,10308,Great Kills
36.10996046200563,84.36,10308,South Beach - Tottenville
36.090147022671,267.51,11429,Queens Village
36.090147022671,217.57,11429,Southeast Queens
36.064715885776806,260.61,11219,Borough Park
36.064715885776806,217.54,11219,Borough Park
36.003046396205335,231.28,11412,St. Albans
36.003046396205335,182.99,11412,Jamaica
35.994273995200594,277.32,10454,Mott Haven/Port Morris
35.994273995200594,256.39,10454,Hunts Point - Mott Haven
35.98184146965848,256.82,11230,Midwood
35.98184146965848,222.06,11230,Borough Park
35.97792094644818,148.9,10470,Wakefield/Woodlawn
35.97792094644818,92.17,10470,Northeast Bronx
35.936314373988466,200.36,11214,Bath Beach/Bensonhurst/Gravesend
35.936314373988466,172.5,11214,Bensonhurst - Bay Ridge
35.921242656921365,178.85,11223,Gravesend/Homecrest
35.921242656921365,165.09,11223,Coney Island - Sheepshead Bay
35.85713117739489,105.49,10022,East Midtown
35.85713117739489,82.41,10022,Gramercy Park - Murray Hill
35.83013874925606,192.24,11228,Bath Beach/Dyker Heights
35.83013874925606,167.36,11228,Bensonhurst - Bay Ridge
35.809508763386894,321.06,10456,Claremont/Morrisania
35.809508763386894,275.04,10456,High Bridge - Morrisania
35.787329214980716,235.98,11413,Laurelton/Rosedale
35.787329214980716,137.46,11413,Southeast Queens
35.75682295409798,203.23,11366,Fresh Meadows/Hillcrest
35.75682295409798,159.68,11366,Fresh Meadows
35.63433014152013,281.24,10472,Soundview
35.63433014152013,244.43,10472,Pelham - Throgs Neck
35.38592210874712,224.78,11433,Jamaica
35.38592210874712,191.48,11433,Jamaica
35.34527866298143,270.11,10301,Silver Lake/St. George
35.34527866298143,239.82,10301,Stapleton - St. George
35.31359815492171,428.75,10304,New Dorp/Todt Hill
35.31359815492171,355.72,10304,Stapleton - St. George
35.24744509372827,190.32,10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze
35.24744509372827,159.77,10305,Stapleton - St. George
35.12076478619438,216.4,10460,Charlotte Gardens/Tremont/Van Nest/West Farms
35.12076478619438,179.78,10460,Crotona - Tremont
35.045405635122265,120.99,11358,Auburndale/Murray Hill
35.045405635122265,92.85,11358,Flushing - Clearview
35.0355558450813,185.32,11204,Bensonhurst/Mapleton
35.0355558450813,170.19,11204,Borough Park
34.97169134189633,462.22,11692,Arverne/Edgemere
34.97169134189633,392.64,11692,Rockaway
34.9653138412487,330.82,11423,Hollis/Holliswood
34.9653138412487,259.04,11423,Jamaica
34.961005179616016,343.3,10459,Charlotte Gardens/Hunts Point
34.961005179616016,310.21,10459,Hunts Point - Mott Haven
34.945332426202405,263.63,11375,Forest Hills
34.945332426202405,238.12,11375,Ridgewood - Forest Hills
34.94464796717758,224.02,11427,Bellerose/Hollis Hills/Holliswood
34.94464796717758,180.94,11427,Southeast Queens
34.70421714894049,232.83,11213,Crown Heights (East)
34.70421714894049,197.13,11213,Bedford Stuyvesant - Crown Heights
34.66969948169101,265.56,10455,Mott Haven
34.66969948169101,220.51,10455,Hunts Point - Mott Haven
34.61161279098934,192.67,11233,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville
34.61161279098934,166.33,11233,Bedford Stuyvesant - Crown Heights
34.366295598980976,31.56,10069,Lincoln Square
34.366295598980976,31.56,10069,Upper West Side
34.34496158215919,253.06,10457,Belmont/Claremont/Mount Hope/Tremont
34.34496158215919,224.94,10457,Crotona - Tremont
34.26257904076925,142.43,10310,Port Richmond/Randall Manor/West Brighton
34.26257904076925,117.3,10310,Port Richmond
34.16911095884668,207.35,11361,Bayside (North)/Bayside (South)
34.16911095884668,132.28,11361,Bayside - Little Neck
34.121542674826905,154.37,11365,Auburndale/Fresh Meadows/Pomonok/Utopia
34.121542674826905,122.59,11365,Fresh Meadows
33.978570024284814,221.07,11436,South Jamaica/South Ozone Park
33.978570024284814,173.02,11436,Jamaica
33.927572723658656,267.81,10040,Washington Heights (North)
33.927572723658656,229.87,10040,Washington Heights - Inwood
33.904266568210524,312.86,11236,Canarsie
33.904266568210524,271.56,11236,Canarsie - Flatlands
33.768785441410884,205.71,10453,Morris Heights/Mount Hope/University Heights
33.768785441410884,182.3,10453,Crotona - Tremont
33.739440445335795,223.58,11210,Flatlands/Midwood
33.739440445335795,186.32,11210,East Flatbush - Flatbush
33.723613879561455,268.89,10029,East Harlem
33.723613879561455,233.38,10029,East Harlem
33.56961966631708,242.59,11225,Crown Heights (West)/Prospect Lefferts Gardens
33.56961966631708,213.13,11225,East Flatbush - Flatbush
33.39436365732927,308.9,11226,Flatbush/Prospect Lefferts Gardens
33.39436365732927,244.29,11226,East Flatbush - Flatbush
33.29124308791185,231.06,10452,Concourse/Highbridge
33.29124308791185,196.01,10452,High Bridge - Morrisania
33.215520914615674,180.08,11356,College Point
33.215520914615674,162.93,11356,Flushing - Clearview
33.16747832355811,234.22,11693,Arverne/Broad Channel
33.16747832355811,201.92,11693,Rockaway
33.08183235126341,239.23,10462,Parkchester/Pelham Parkway/Van Nest/Westchester Square
33.08183235126341,203.02,10462,Pelham - Throgs Neck
32.96289361042897,193.86,10025,Manhattan Valley/Morningside Heights/Upper West Side
32.96289361042897,155.96,10025,Upper West Side
32.943910574998206,279.4,11428,Queens Village
32.943910574998206,191.44,11428,Southeast Queens
32.898010035152204,499.15,11369,Airport/East Elmhurst
32.898010035152204,419.61,11369,West Queens
32.77733051550703,293.42,10468,Fordham/Kingsbridge/University Heights
32.77733051550703,226.91,10468,Fordham - Bronx Park
32.76351319895254,198.69,11422,Rosedale
32.76351319895254,118.62,11422,Southeast Queens
32.723324642915394,408.26,11432,Hillcrest/Jamaica Estates/Jamaica Hills
32.723324642915394,344.96,11432,Jamaica
32.72148754703946,166.97,11426,Bellerose
32.72148754703946,127.68,11426,Southeast Queens
32.678901139348305,221,11420,South Ozone Park
32.678901139348305,187.96,11420,Southwest Queens
32.66467148001747,172.92,11209,Bay Ridge/Fort Hamilton
32.66467148001747,149.07,11209,Bensonhurst - Bay Ridge
32.65476994702129,286.21,10032,Washington Heights (South)
32.65476994702129,240.68,10032,Washington Heights - Inwood
32.567373469115296,170.45,10302,Elm Park
32.567373469115296,159.8,10302,Port Richmond
32.52348126473082,194.39,10030,Central Harlem (North)
32.52348126473082,150.06,10030,Central Harlem - Morningside Height
32.52257186674674,96.35,10065,Lenox Hill/Upper East Side
32.52257186674674,86.02,10065,Upper East Side
32.37830192054829,147.14,10021,Lenox Hill/Upper East Side
32.37830192054829,129.03,10021,Upper East Side
